Time,F{\dext},F{\dint},u{\dundamaged},v{\dundamaged},a{\dundamaged}
0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.25,0.0,0.0,0.0,0.0
0.0002,0.5,0.00011104830646993583,1.2856444807539061e-06,0.006428222403769531,128.5644480753906
0.00030000000000000003,0.7500000000000001,0.0004439099780470438,5.139298665327042e-06,0.025696493326635206,256.8009703819229
0.0004,1.0,0.0011090182211027655,1.2839485808838465e-05,0.057769206640422795,384.65329589382867
0.0005,1.25,0.0022164260351003997,2.5660327380116768e-05,0.10260514357394863,512.0654427766879
0.0006000000000000001,1.5000000000000002,0.0038757581286961254,4.487098637784513e-05,0.1601575028450333,638.9817426450057
0.0007,1.75,0.0061961631273716265,7.173511402186805e-05,0.2303739332087564,765.3468646294572
0.0008,2.0,0.009286266093213254,0.00010751030005832612,0.31319656840240495,891.105839243513
0.0009000000000000001,2.25,0.013254121377270592,0.00015344752691517696,0.40856206446654453,1016.2040820392776
0.001,2.5,0.01820716582473652,0.00021079062794245217,0.5164016394206302,1140.5874170424365
0.0011,2.75,0.02425217235299148,0.0002807757499692916,0.6366411152705733,1264.202099956422
0.0012000000000000001,3.0000000000000004,0.031495203922346914,0.000364630820407391,0.7692009623246941,1386.9948411259911
0.0013000000000000002,3.2500000000000004,0.040041567919106395,0.0004635750191279937,0.9139963457935104,1508.9128282503302
0.0014,3.5,0.049995770970338825,0.0005788182553369616,1.0709371746478529,1629.9037488365168
0.0015,3.75,0.061461474209525135,0.0007115606496697635,1.2399281527088488,1749.9158123834043
0.0016,4.0,0.07454144901199951,0.0008629920217254373,1.4208688319423788,1868.897772287195
0.0017000000000000001,4.25,0.08933753321885751,0.0010342913832557007,1.6136536679296862,1986.7989474589522
0.0018000000000000002,4.5,0.10595058786774723,0.0012266264372224219,1.8181720774849226,2103.5692436457757
0.0019,4.75,0.12448045444869552,0.0014411530829336015,2.034308498389504,2219.159174445852
