Time,F{\dext},F{\dint},u{\ddamaged},v{\ddamaged},a{\ddamaged}
0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.25,0.0,0.0,0.0,0.0
0.0002,0.5,0.00011104830646993583,1.2856444807539061e-06,0.006428222403769531,128.5644480753906
0.00030000000000000003,0.7500000000000001,0.0004439099780470438,5.139298665327042e-06,0.025696493326635206,256.8009703819229
0.0004,1.0,0.0011090182211027655,1.2839485808838465e-05,0.057769206640422795,384.65329589382867
0.0005,1.25,0.0022164260351003997,2.5660327380116768e-05,0.10260514357394863,512.0654427766879
0.0006000000000000001,1.5000000000000002,0.0038757581286961254,4.487098637784513e-05,0.1601575028450333,638.9817426450057
0.0007,1.75,0.0061961631273716265,7.173511402186805e-05,0.2303739332087564,765.3468646294572
0.0008,2.0,0.009286266093213254,0.00010751030005832612,0.31319656840240495,891.105839243513
0.0009000000000000001,2.25,0.013254121377270592,0.00015344752691517696,0.40856206446654453,1016.2040820392776
0.001,2.5,0.01820716582473652,0.00021079062794245217,0.5164016394206302,1140.5874170424365
0.0011,2.75,0.02425217235299148,0.0002807757499692916,0.6366411152705733,1264.202099956422
0.0012000000000000001,3.0000000000000004,0.031495203922346914,0.000364630820407391,0.7692009623246941,1386.9948411259911
0.0013000000000000002,3.2500000000000004,0.040041567919106395,0.0004635750191279937,0.9139963457935104,1508.9128282503302
0.0014,3.5,0.049995770970338825,0.0005788182553369616,1.0709371746478529,1629.9037488365168
0.0015,3.75,0.061461474209525135,0.0007115606496697635,1.2399281527088488,1749.9158123834043
0.0016,4.0,0.07454144901199951,0.0008629920217254373,1.4208688319423788,1868.897772287195
0.0017000000000000001,4.25,0.08933753321885751,0.0010342913832557007,1.6136536679296862,1986.7989474589522
0.0018000000000000002,4.5,0.10595058786774723,0.0012266264372224219,1.8181720774849226,2103.5692436457757
0.0019,4.75,0.12448045444869552,0.0014411530829336015,2.034308498389504,2219.159174445852
0.002,5.0,0.1450259127028502,0.0016790149274648809,2.261942451212295,2333.5198820099686
0.0021000000000000003,5.250000000000001,0.16768463898173985,0.0019413428035703543,2.500948603183764,2446.603157419411
0.0022,5.5,0.19255316518436733,0.0022292542942831616,2.7511968340914033,2558.3614607333807
0.0023,5.75,0.21972683828915926,0.0025438532644029336,3.012552304162896,2668.7479406964712
0.0024000000000000002,6.000000000000001,0.24929978049749446,0.0028862293990636963,3.2848755239026732,2777.716454099074
0.0025,6.25,0.28136485000522676,0.003257457749572284,3.5680224258467526,2885.2215847825073
0.0026000000000000003,6.500000000000001,0.31601360241830484,0.003658598286703684,3.861844438199939,2991.218662281225
0.0027,6.75,0.35333625282827025,0.00409069546163602,4.166188560318681,3095.6637800936583
0.0028,7.0,0.39342163856309054,0.004554777774704121,4.480897440002182,3198.513813576411
0.0029000000000000002,7.250000000000001,0.4363571826284499,0.005051857352146751,4.805809452553652,3299.726437452997
0.003,7.5,0.4822288578542825,0.005582929531018687,5.140758781572831,3399.2601429305714
0.0031000000000000003,7.750000000000001,0.5311211517609887,0.006148972452434803,5.485575501440261,3497.0742544180275
0.0032,8.0,0.5831170321594241,0.006750946663309298,5.840085661453055,3593.1289458378606
0.0033,8.25,0.638297913498396,0.007389794726749077,6.204111371571367,3687.3852565283764
0.0034000000000000002,8.5,0.6967436239730419,0.008066440841256118,6.5774708897341,3779.805106726361
0.0035,8.75,0.7585323734070957,0.008781790468889418,6.959978710701707,3870.3513126257803
0.0036000000000000003,9.0,0.8237407219216789,0.009536729972532796,7.351445656383391,3958.987601007831
0.0037,9.25,0.892443549402878,0.010332126262410521,7.751678967605514,4045.6786234346205
0.0038,9.5,0.964714025779986,0.01116882645198828,8.160482397277418,4130.3899700034435
0.0039000000000000003,9.75,1.0406235821259031,0.012047657523392574,8.577656304910265,4213.088182653501
0.004,10.0,1.120241882590803,0.012969426002477096,9.00299775244408,4293.740768022795
0.0041,10.25,1.2036367971797748,0.01393491764366013,9.43630060133778,4372.316209851241
0.004200000000000001,10.500000000000002,1.2908743753847551,0.014944897124652346,9.87735561087625,4448.783980918157
0.0043,10.75,1.382018820680665,0.016000107751189787,10.325950537648284,4523.114554522492
0.0044,11.0,1.4771324658952558,0.01710127117188211,10.781870236148821,4595.279415488262
0.0045000000000000005,11.250000000000002,1.5762757494617703,0.01824908710328145,11.244896760458314,4665.251070701606
0.0046,11.5,1.6795071925631004,0.01944423306527248,11.714809466951849,4733.003059169058
0.0047,11.75,1.7868833771757233,0.020687364126879482,12.191385117990162,4798.509961597211
0.0048000000000000004,12.000000000000002,1.898458925021267,0.02197911266258139,12.674397986544554,4861.747409490649
0.0049,12.25,2.0142864774331484,0.023320088119220924,13.163619961707207,4922.692093762421
0.005,12.5,2.1344166761452956,0.024710876793589003,13.65882065503806,4981.321772854624
0.0051,12.750000000000002,2.258898145009548,0.026152041620760798,14.159767507699367,5037.61528037154
0.005200000000000001,13.000000000000002,2.387777472647895,0.027644121973254717,14.666225898328568,5091.552532212468
0.0053,13.25,2.5210991960452938,0.029187633471080842,15.177959251600221,5143.114533220569
0.0054,13.5,2.6589057850883773,0.030783067802740167,15.694729147427248,5192.283383319978
0.0055000000000000005,13.750000000000002,2.8012376280549125,0.03243089255723112,16.21629543075138,5239.042283162326
0.0056,14.0,2.94813301805847,0.03413155106711479,16.74241632187311,5283.375539271578
0.0057,14.25,3.0996281404523005,0.0358854622626853,17.27284852727089,5325.268568683733
0.0058000000000000005,14.500000000000002,3.255757061195998,0.037693020537286646,17.807347350859285,5364.707903084131
